name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
Maheshate,453,10.0,3.0,0,24.0,18,0.56,0.28,0.0,0.0,0.0,72,71,0.0,3.9,10.766666666666667,5.76,0.53,0.45
Maia Stevenson,739,6.0,5.0,0,42.0,17,0.0,0.54,3.91,1.0,0.0,64,62,0.0,1.57,3.8333333333333335,3.13,0.33,0.5
Mairbek Taisumov,Beckan,27.0,6.0,0,35.0,51,0.77,0.39,1.34,0.63,0.0,69,73,0.0,2.98,8.7,3.03,0.64,0.88
Maki Pitolo,Coconut Bombz,13.0,9.0,0,33.0,17,0.25,0.44,2.24,0.52,0.8,70,75,0.0,4.1,8.616666666666667,3.93,0.55,0.5
Makwan Amirkhani,Mr Finland,17.0,9.0,0,35.0,3,0.12,0.44,3.96,0.43,1.1,70,72,1.0,1.33,9.2,2.98,0.46,0.35
Malcolm Gordon,X,14.0,8.0,0,34.0,80,0.0,0.45,1.72,0.35,1.0,67,71,3.0,2.5,6.216666666666667,2.0,0.43,0.26
Malik Lewis,Hard Knock,6.0,2.0,0,28.0,38,0.0,0.45,3.98,0.4,0.0,72,75,0.0,4.16,11.316666666666666,5.66,0.4,0.5
Mallory Martin,470,7.0,5.0,0,30.0,17,0.0,0.48,2.28,0.43,0.3,64,63,0.0,4.42,9.216666666666667,6.64,0.55,0.25
Mana Martinez,ManaBoi,10.0,4.0,0,28.0,17,0.96,0.48,0.72,0.42,0.5,70,70,0.0,4.33,12.466666666666667,4.94,0.5,0.25
Mando Gutierrez,El Toro,7.0,2.0,0,27.0,17,0.0,0.75,1.0,1.0,1.0,66,70,1.0,0.8,15.0,1.33,0.5,0.4
Manel Kape,StarBoy,19.0,6.0,0,30.0,122,1.09,0.54,0.65,0.37,0.4,65,68,1.0,5.12,11.466666666666667,4.51,0.59,0.77
Manny Bermudez,The Bermudez Triangle,14.0,2.0,0,29.0,17,0.51,0.61,3.06,0.54,3.1,70,71,0.0,2.92,5.883333333333333,2.68,0.46,0.0
Manny Vazquez,799,11.0,2.0,0,30.0,97,1.0,0.41,1.0,0.33,1.0,70,72,0.0,1.47,15.0,2.67,0.48,0.0
Manolo Zecchini,Angelo Veneziano,11.0,4.0,0,27.0,15,0.0,0.21,0.0,0.0,0.0,68,68,0.0,2.34,3.85,6.75,0.46,0.0
Manon Fiorot,The Beast,12.0,1.0,0,34.0,87,0.0,0.41,1.17,0.42,0.0,67,65,0.0,6.26,15.0,3.77,0.68,0.93
Manuel Torres,El Loco,15.0,2.0,0,29.0,26,4.88,0.58,3.26,0.66,1.6,70,73,3.0,8.14,2.3,3.15,0.56,0.88
MarQuel Mederos,486,9.0,1.0,0,27.0,17,0.78,0.45,0.0,0.0,0.0,70,69,0.0,4.39,9.583333333333334,3.29,0.63,0.9
Mara Romero Borella,Maravilha,12.0,9.0,0,38.0,15,0.0,0.37,1.83,0.44,0.2,66,69,0.0,2.54,9.4,2.48,0.71,0.66
Marc Diakiese,Bonecrusher,17.0,7.0,0,31.0,116,0.16,0.4,3.29,0.43,0.0,70,73,0.0,2.54,12.133333333333333,2.64,0.52,0.66
MarcAndre Barriault,Powerbar,16.0,7.0,0,34.0,80,0.32,0.47,0.22,0.25,0.1,73,74,0.0,6.19,11.566666666666666,5.67,0.52,0.67
Marcel Fortuna,Maozinha,9.0,3.0,0,38.0,57,0.45,0.46,0.45,0.08,0.5,73,74,0.0,3.83,11.05,4.52,0.64,0.75
Marcelo Golm,270,6.0,3.0,0,31.0,57,0.0,0.58,0.45,0.5,0.5,75,75,0.0,4.27,8.316666666666666,4.3,0.45,0.87
Marcelo Guimaraes,Magrao,9.0,2.0,1,40.0,57,0.0,0.51,1.99,0.13,0.0,72,73,0.0,4.67,11.283333333333333,4.41,0.62,0.0
Marcelo Rojo,Pitbull,16.0,10.0,0,35.0,81,0.0,0.39,0.46,0.5,0.0,68,71,0.0,4.92,10.85,6.42,0.55,0.66
Marcin Held,306,23.0,7.0,0,32.0,55,0.0,0.34,2.46,0.46,1.3,69,71,0.0,1.41,15.216666666666667,2.02,0.47,0.37
Marcin Prachnio,609,17.0,7.0,0,35.0,55,0.17,0.55,0.17,0.2,0.0,75,74,0.0,5.61,9.933333333333334,3.3,0.54,0.58
Marcin Tybura,Tybur,25.0,8.0,0,38.0,55,0.07,0.48,1.43,0.33,0.1,75,78,0.0,3.6,11.616666666666667,3.35,0.55,0.79
Marco Beltran,Psycho,8.0,6.0,0,38.0,26,0.23,0.37,0.7,0.5,0.2,68,69,0.0,2.07,10.783333333333333,1.93,0.63,0.46
Marco Polo Reyes,El Toro,8.0,7.0,0,39.0,26,1.71,0.37,0.0,0.0,0.0,71,71,0.0,6.0,5.5,5.52,0.59,0.46
Marco Tulio,Matuto,10.0,1.0,0,30.0,97,0.0,0.48,2.0,0.25,1.0,72,74,0.0,3.2,15.0,2.2,0.52,0.0
Marcos Brigagao,Ironside,11.0,1.0,0,28.0,97,0.0,0.43,0.0,0.0,0.0,75,76,1.0,3.07,15.0,3.27,0.25,0.36
Marcos Rogerio de Lima,Pezao,22.0,10.0,1,38.0,57,0.89,0.57,1.4,0.45,0.5,73,75,0.0,3.7,6.2,2.9,0.51,0.59
Marcus Aurelio,Maximus,22.0,10.0,0,50.0,57,0.23,0.33,1.69,0.27,1.3,70,74,0.0,1.42,10.8,2.27,0.59,0.27
Marcus Brimage,The Bama Beast,7.0,7.0,0,39.0,17,0.37,0.35,0.56,1.0,0.0,64,71,1.0,3.97,10.05,3.64,0.56,0.8
Marcus Davis,The Irish Hand Grenade,22.0,11.0,0,50.0,17,0.69,0.39,1.6,0.48,1.4,70,70,1.0,2.72,8.733333333333333,2.79,0.65,0.47
Marcus LeVesseur,The Prospect,22.0,7.0,0,41.0,17,0.0,0.64,3.89,0.36,0.6,69,70,1.0,2.55,9.0,3.7,0.37,0.83
Marcus McGhee,The Maniac,9.0,1.0,0,34.0,17,2.52,0.51,0.84,0.33,0.8,68,69,0.0,5.43,5.95,2.52,0.71,1.0
Maria Oliveira,SpiderGirl,13.0,7.0,0,27.0,57,0.0,0.38,0.95,0.44,0.0,66,69,0.0,5.03,12.616666666666667,5.76,0.44,0.47
Maria Silva,Viuva Negra,8.0,1.0,0,28.0,57,0.0,0.57,2.0,1.0,0.5,63,64,0.0,3.0,15.0,1.13,0.62,0.55
Marina Rodriguez,640,17.0,4.0,2,37.0,57,0.15,0.47,0.23,0.42,0.2,66,65,0.0,4.82,14.116666666666667,3.12,0.55,0.65
Mario Bautista,59,14.0,2.0,0,30.0,17,0.17,0.48,2.25,0.44,1.0,69,69,3.0,5.69,8.666666666666666,3.99,0.53,0.66
Mario Miranda,499,14.0,7.0,0,44.0,57,0.34,0.54,1.02,0.6,0.0,75,74,0.0,1.96,10.983333333333333,2.46,0.36,0.54
Mario Sousa,Coracao Valente,15.0,3.0,0,27.0,57,0.0,0.5,0.52,0.25,0.5,75,79,0.0,2.82,9.583333333333334,2.99,0.28,0.37
Marion Reneau,The Belizean Bruiser,9.0,8.0,1,46.0,17,0.0,0.41,0.62,0.63,0.8,66,68,0.0,3.2,13.1,3.52,0.59,0.5
Mariusz Ksiazkiewicz,The Iron Pol,8.0,1.0,0,34.0,38,0.0,0.45,4.0,1.0,2.0,75,75,1.0,0.93,15.0,3.4,0.39,0.0
Mariya Agapova,Demonslayer,10.0,4.0,0,27.0,46,0.59,0.55,0.59,0.66,0.9,66,68,1.0,4.67,8.5,3.82,0.52,0.47
Mark Bocek,76,12.0,5.0,0,42.0,80,0.0,0.43,3.65,0.36,1.3,68,75,0.0,2.34,11.383333333333333,2.32,0.6,0.31
Mark Cherico,The Pride of Bloomfield,11.0,1.0,0,38.0,17,0.0,0.34,5.03,0.5,0.0,67,69,0.0,3.69,2.9833333333333334,7.37,0.56,0.0
Mark Climaco,133,9.0,2.0,0,26.0,17,0.0,0.59,3.5,0.36,0.0,64,65,1.0,4.13,15.0,2.9,0.57,0.46
Mark Coleman,The Hammer,16.0,10.0,0,59.0,17,0.0,0.52,3.89,0.4,0.8,73,75,0.0,1.88,7.0,2.62,0.4,0.5
Mark De La Rosa,Bumblebee,11.0,5.0,0,29.0,17,0.0,0.35,0.54,0.13,0.2,66,65,0.0,3.13,11.916666666666666,5.0,0.48,0.4
Mark Eddiva,198,6.0,3.0,0,38.0,39,0.0,0.45,1.45,0.22,0.0,68,68,0.0,3.37,10.316666666666666,2.98,0.54,0.63
Mark Godbeer,The Hand Of,13.0,4.0,0,40.0,53,0.0,0.53,0.0,0.0,0.0,76,77,0.0,3.97,7.816666666666666,3.3,0.54,0.28
Mark Hominick,The Machine,20.0,12.0,0,41.0,80,0.55,0.42,0.25,0.66,0.9,68,68,0.0,4.08,9.15,4.18,0.69,0.71
Mark Hunt,Super Samoan,13.0,14.0,1,50.0,76,0.71,0.43,0.51,0.55,0.2,70,72,0.0,2.81,10.216666666666667,2.9,0.51,0.64
Mark Madsen,The Olympian,12.0,2.0,0,39.0,54,0.0,0.49,2.86,0.66,0.0,68,72,0.0,3.56,10.5,3.97,0.52,0.62
Mark Munoz,The Filipino Wrecking Machine,14.0,6.0,0,46.0,17,0.22,0.51,3.17,0.29,0.6,72,71,0.0,3.12,8.066666666666666,2.26,0.57,0.57
Mark Striegl,Mugen,18.0,4.0,0,35.0,35,0.0,0.45,0.0,0.0,0.0,68,70,1.0,1.4,3.9333333333333336,4.07,0.4,0.66
Markus Perez,Maluko,12.0,5.0,0,35.0,57,0.0,0.47,0.81,0.25,1.0,73,73,0.0,2.6,10.566666666666666,3.72,0.52,0.77
Marlon Moraes,Magic,23.0,10.0,1,36.0,57,0.87,0.4,0.87,0.41,0.3,66,67,0.0,3.37,7.833333333333333,4.53,0.54,0.46
Marlon Vera,Chito,23.0,9.0,1,31.0,42,0.58,0.49,0.53,0.39,0.9,68,70,3.0,4.31,13.416666666666666,5.48,0.5,0.7
Marnic Mann,The SawedOff Savage,6.0,3.0,0,31.0,17,0.0,0.41,1.9,0.33,0.4,60,64,1.0,1.47,13.183333333333334,5.08,0.31,0.25
Martin Bravo,El Toro,11.0,3.0,0,30.0,26,0.52,0.39,2.6,0.35,0.0,68,71,1.0,7.66,7.216666666666667,5.72,0.51,0.85
Martin Buday,Badys,13.0,2.0,0,32.0,121,0.53,0.52,0.26,0.25,0.3,76,77,0.0,5.17,9.45,5.7,0.54,1.0
Martin Day,The Spartan,8.0,6.0,0,35.0,35,0.48,0.45,0.72,0.6,0.5,70,73,0.0,3.97,12.45,3.79,0.53,0.65
Martin Kampmann,The Hitman,20.0,7.0,0,42.0,54,0.49,0.42,1.86,0.41,2.0,72,72,0.0,3.22,8.683333333333334,3.28,0.62,0.78
Martin Sano,Spartan,4.0,3.0,1,33.0,17,0.0,0.33,0.0,0.0,0.0,71,75,0.0,4.0,0.25,12.0,0.4,0.0
Marvin Eastman,The Beastman,18.0,15.0,1,53.0,17,0.0,0.35,1.38,0.33,0.0,69,73,0.0,2.21,6.316666666666666,3.92,0.42,0.81
Marvin Vettori,The Italian Dream,19.0,7.0,1,30.0,15,0.06,0.45,1.66,0.45,0.5,72,74,1.0,4.56,16.916666666666668,4.24,0.56,0.69
